name,id,name_type,rec_class,mass,fall,year,rec_lat,rec_long,location_type
Garrison,10864,Valid,Stony,5116.0,Found,1969.0,33.86333,-103.34667,Exact
Gaylord,10868,Valid,Stony,8480.0,Found,1983.0,39.61667,-98.7,Exact
Georgetown,10904,Valid,Stony,687.0,Found,1967.0,39.7,-105.7,Exact
Gila Bend,30664,Valid,Stony,3700.0,Found,2000.0,33.03333,-112.61667,Exact
Gladstone (stone),10921,Valid,Stony,57300.0,Found,1936.0,36.3,-104.0,Exact
Glasgow,10927,Valid,Iron,20400.0,Found,1922.0,37.01667,-85.91667,Exact
Glasston,10928,Valid,Stony,1990.0,Found,1969.0,48.71667,-97.3,Exact
Glen Rose (iron),10932,Valid,Iron,11000.0,Found,1934.0,32.25,-97.71667,Exact
Glorieta Mountain,10935,Valid,Stony_iron,148000.0,Found,1884.0,35.6,-105.8,Exact
Gold Basin,10940,Valid,Stony,61000.0,Found,1995.0,35.875,-114.23333,Exact
Golden Mile,10941,Valid,Stony,378.8,Found,2000.0,35.89,-114.16667,Exact
Golden Rule,10942,Valid,Stony,797.6,Found,1999.0,35.87333,-114.2,Exact
Goldstone Dry Lake,10943,Valid,Stony,1.1,Found,1999.0,35.37333,-116.90833,Exact
Gomez,10944,Valid,Stony,47000.0,Found,1974.0,33.18139,-102.40139,Exact
Goodland,10945,Valid,Stony,3628.0,Found,1923.0,39.35,-101.66667,Exact
Goose Creek,10946,Valid,Stony,2132.3,Found,1999.0,37.435,-98.31833,Exact
Goose Lake,10947,Valid,Iron,1169500.0,Found,1938.0,41.98,-120.54167,Exact
Grady (1933),10951,Valid,Stony,4230.0,Found,1933.0,34.8,-103.31667,Exact
Grady (1937),10952,Valid,Stony,9300.0,Found,1937.0,34.8,-103.31667,Exact
Grady (c),10953,Valid,Stony,5700.0,Found,1970.0,34.8,-103.31667,Exact
Granada Creek,10954,Valid,Stony,479.0,Found,1975.0,37.96667,-102.33333,Exact
Grand Rapids,10955,Valid,Iron,51700.0,Found,1883.0,42.96667,-85.76667,Exact
Grandview,47730,Valid,Stony,6400.0,Found,2008.0,32.788333,-101.938333,Exact
Grant,10957,Valid,Iron,525000.0,Found,1929.0,35.16667,-107.88333,Exact
Grant County,10958,Valid,Stony,2300.0,Found,1936.0,37.46667,-101.43333,Exact
Grassland,10959,Valid,Stony,4400.0,Found,1964.0,33.11667,-101.58333,Exact
